meal,vegetarian
sushi,yes
pizza,no
tortellini with kale and sausage,no
baked ziti with spinach,yes
bean tacos,yes
butternut squash soup and grilled cheese,yes
cobb salad,yes
veggie burgers and sweet potatoes,yes
orange chicken with brocoli and rice,no
chicken and brocoli rice casserole,no
shepards pie,no
roasted chicken and veggies,no
enchiladas,yes
breaded white fish and potatoes,no
steak salad,no
bean and cheese burritos,yes
pesto pasta with veggies,yes
spaghetti and meat sauce,no
corn casserole and salad,yes
